book_id,user_id,rating
2767052,131252892,5
2767052,114272020,4
2767052,91628870,5
2767052,395599,4
2767052,31502192,4
2767052,137273,5
2767052,28146945,5
2767052,22793325,5
2767052,44325911,5
2767052,164024381,5
2767052,16176892,4
2767052,179270819,5
2767052,74636657,4
2767052,114384475,5
2767052,128705046,3
2767052,179338591,4
2767052,139540865,4
2767052,186475864,4
2767052,10592271,4
2767052,130533249,5
2767052,81427336,4
2767052,1,5
2767052,161416069,5
2767052,148596433,5
2767052,55798017,3
2767052,43321228,5
2767052,114718913,5
2767052,10762033,5
2767052,116001049,4
2767052,8575414,4
2767052,33535145,5
2767052,71490620,4
2767052,121021140,5
2767052,130646884,4
2767052,21700817,5
2767052,80388822,5
2767052,75746952,4
2767052,174367618,4
2767052,152369844,5
2767052,23822042,3
2767052,103365981,5
2767052,112367972,5
2767052,158260139,5
2767052,1133802,5
2767052,90594988,4
2767052,1629797,5
2767052,164249596,5
2767052,13682027,5
2767052,31454912,5
2767052,82265921,5
2767052,7016704,5
2767052,99729273,5
2767052,134874120,5
2767052,44192264,5
2767052,26560207,3
2767052,7285286,5
2767052,68968585,4
2767052,10923016,4
2767052,3039709,5
2767052,61150031,5
2767052,116376846,4
2767052,6068286,5
2767052,43517538,5
2767052,71821907,5
2767052,139519718,5
2767052,31787045,5
2767052,18202588,4
2767052,4719641,5
2767052,151158931,5
2767052,22176981,4
2767052,4460714,5
2767052,131695878,5
2767052,33008614,5
2767052,27369602,4
2767052,2915040,5
2767052,96515924,5
2767052,104031480,5
2767052,123992040,5
2767052,126606109,5
2767052,28353412,5
2767052,1754850,5
2767052,3712181,2
2767052,168951779,5
2767052,117685497,4
2767052,144570880,5
2767052,886144,3
2767052,2018505,5
2767052,63274287,5
2767052,23381142,4
2767052,63295319,5
2767052,137936766,5
2767052,93341192,5
2767052,126925370,5
2767052,63030502,5
2767052,7171726,5
2767052,132388351,5
2767052,63866052,5
2767052,176423444,3
2767052,8332583,5
2767052,25493797,3
2767052,64195152,1
2767052,32429909,5
2767052,202724,5
2767052,150659670,4
2767052,95989127,4
2767052,87574378,3
2767052,75536567,5
2767052,33245157,5
2767052,127621286,5
2767052,172002304,5
2767052,172959245,5
2767052,2156200,3
2767052,151763470,5
2767052,2569035,4
2767052,49847688,4
2767052,6237864,3
2767052,106692,5
2767052,148120116,3
2767052,80273455,5
2767052,93076836,5
2767052,66971732,4
2767052,177554512,5
2767052,153569439,3
2767052,2445786,4
2767052,24816039,5
2767052,69932312,4
2767052,18631380,4
2767052,83499304,5
2767052,98457262,4
2767052,125440012,4
2767052,126527276,5
2767052,42055091,3
2767052,52645070,5
2767052,17688793,5
2767052,13362307,4
2767052,15662887,4
2767052,123444753,5
2767052,168636013,5
2767052,1746727,5
2767052,7690433,4
2767052,110345874,5
2767052,54202999,5
2767052,117486047,5
2767052,126977719,4
2767052,17595751,5
2767052,153094537,5
2767052,90815475,5
2767052,172627268,4
2767052,159765395,5
2767052,4542979,4
2767052,104675816,4
2767052,75350434,5
2767052,112956157,4
2767052,163280662,4
2767052,53370604,5
2767052,61204603,5
2767052,2251887,5
2767052,28683811,5
2767052,36316784,5
2767052,63783308,5
2767052,3188553,5
2767052,131236799,5
2767052,3655732,2
2767052,16842102,4
2767052,167300919,5
2767052,41185165,5
2767052,3990525,5
2767052,18450298,4
2767052,138277086,4
2767052,41243494,4
2767052,58035793,5
2767052,109985186,4
2767052,8463200,5
2767052,24617462,4
2767052,107088180,5
2767052,86143109,5
2767052,42963501,5
2767052,37924577,5
2767052,9457488,4
2767052,65613938,5
2767052,1258773,3
2767052,17371689,5
2767052,1651956,3
2767052,51603060,5
2767052,38658747,4
2767052,65647396,5
2767052,138579716,5
2767052,1053760,5
2767052,15527504,4
2767052,76637523,5
2767052,91528233,4
